Word	FREQ
powerful	32
pure	32
quiet	32
raise	32
reduced	32
representing	32
same.	32
scarcely	32
scheme	32
sit	32
skirt	32
struck	32
talk	32
things,	32
tried	32
_i	31
accompanied	31
alf.	31
answered	31
appeared	31
archive	31
away,	31
baby	31
bodies,	31
bound	31
breaking	31
casts	31
closed	31
collection	31
concerning	31
contains	31
death,	31
definite	31
devil	31
diameter	31
edge	31
europe	31
extreme	31
fifty	31
ground,	31
grows	31
hair,	31
happen	31
hate	31
heaven	31
hell	31
included	31
indicate	31
james	31
joints	31
laughing	31
leonardo,	31
lord,	31
metal	31
money.	31
museum	31
name.	31
o.	31
obviously	31
opinion	31
painted	31
part,	31
pray	31
puts	31
pyramids	31
reached	31
seen,	31
series	31
sharp	31
skull	31
smiled	31
somewhere	31
spaces	31
taste	31
temperature	31
thinks	31
woman's	31
wood	31
working	31
years.	31
_r	30
2nd	30
acquire	30
acts	30
animals.	30
are.	30
arranged	30
astronomers	30
bar	30
birds,	30
chapels	30
contain	30
corresponding	30
crossed	30
crown	30
dense	30
division	30
duke	30
dull	30
ears	30
english	30
evil	30
father,	30
fill	30
golden	30
grave	30
habit	30
happened	30
joe,	30
labour	30
liked	30
loved	30
lynch:	30
margin	30
meat	30
necessarily	30
others.	30
paris	30
pat	30
plans	30
pointed	30
press	30
probable	30
pulled	30
relation	30
relief	30
resemblance	30
rivers,	30
safe	30
seas	30
shillings	30
statement	30
substance	30
tall	30
threw	30
views	30
wall,	30
wise	30
woman,	30
you'll	30
youth	30
(a	29
_f_	29
_m_	29
30	29
arno	29
asking	29
bare	29
begat	29
boys	29
cat	29
college	29
dark,	29
doesn't	29
dollard	29
eglinton	29
entered	29
facts	29
gradually	29
ground.	29
hall	29
hands.	29
house,	29
instrument	29
intelligent	29
kitchen	29
learning	29
likely	29
matters	29
members	29
monkeys	29
narrow	29
necessity	29
not.	29
parts,	29
personal	29
pieces	29
piu	29
possession	29
possibility	29
primitive	29
quarter	29
raising	29
rare	29
richie	29
sang	29
service	29
singing	29
spanish	29
spider	29
struggle	29
supposing	29
swift	29
tone	29
touched	29
weak	29
well.	29
were,	29
windows	29
wings	29
_(to	28
15	28
actions	28
altogether	28
anatomy	28
artificial	28
begins	28
bell	28
belong	28
bending	28
bore	28
bought	28
braccio	28
brightness	28
brings	28
castle	28
charles	28
clothes	28
cloud	28
come.	28
composition	28
conclude	28
constant	28
cool	28
cry	28
distributed	28
dressed	28
expression	28
facsimile	28
fallen	28
flight	28
flynn	28
forming	28
future	28
george	28
halted	28
hidden	28
honourable	28
horse,	28
instruments	28
jack	28
job	28
joint	28
ladies	28
land,	28
loud	28
manuscript	28
mediterranean	28
mirror,	28
morning.	28
paragraph	28
parallel	28
planets	28
played	28
poured	28
previous	28
produces	28
queen	28
recognise	28
reference	28
relatively	28
rendered	28
repeated	28
represents	28
sacred	28
se	28
senses	28
ship	28
situated	28
smile	28
species	28
spiral	28
surface,	28
tend	28
themselves.	28
things.	28
trouble	28
unknown	28
west,	28
winter	28
--well,	27
